transacao_id,data,ano,mes,trimestre,cliente_id,marca_id,produto_id,tipo_produto,valor_contrato,receita,cidade,segmento
T01630,2022-03-09,2022,3,Q1,C0011,1,P005,Cartao,3365.17,195.18,Viseu,Particular
T01120,2022-03-10,2022,3,Q1,C0012,2,P009,Seguro Saude,6279.6,1569.9,Faro,Private Banking
T00434,2022-03-10,2022,3,Q1,C0026,3,P014,Poupanca,20816.66,208.17,Faro,PME
T02540,2022-03-11,2022,3,Q1,C0030,2,P008,Seguro Habitacao,1715.05,343.01,Coimbra,Particular
T02747,2022-03-11,2022,3,Q1,C0016,2,P008,Seguro Habitacao,1717.66,343.53,Coimbra,Particular
T02189,2022-03-12,2022,3,Q1,C0037,2,P008,Seguro Habitacao,1186.89,237.38,Setubal,Particular
T02128,2022-03-12,2022,3,Q1,C0022,3,P010,Fundo,70049.67,1050.75,Coimbra,Particular
T01533,2022-03-13,2022,3,Q1,C0041,2,P008,Seguro Habitacao,2458.24,491.65,Leiria,Particular
T00642,2022-03-14,2022,3,Q1,C0035,3,P013,Gestao,151031.89,1812.38,Setubal,Private Banking
T00792,2022-03-14,2022,3,Q1,C0036,1,P005,Cartao,4116.87,238.78,Setubal,Corporate
T01296,2022-03-14,2022,3,Q1,C0040,3,P011,Fundo,48668.06,389.34,Setubal,Particular
T00112,2022-03-15,2022,3,Q1,C0038,2,P006,Seguro Vida,1551.26,341.28,Coimbra,Particular
T01023,2022-03-15,2022,3,Q1,C0022,3,P011,Fundo,65846.89,526.78,Coimbra,Particular
T01276,2022-03-15,2022,3,Q1,C0005,3,P012,Fundo,32959.36,659.19,Viseu,Particular
T02002,2022-03-16,2022,3,Q1,C0013,1,P002,Credito,224246.73,7848.64,Porto,Corporate
T01836,2022-03-17,2022,3,Q1,C0040,2,P007,Seguro Auto,1663.52,307.75,Leiria,Particular
T00105,2022-03-17,2022,3,Q1,C0007,2,P008,Seguro Habitacao,2252.43,450.49,Evora,Particular
T00390,2022-03-18,2022,3,Q1,C0011,1,P004,Deposito,44171.13,927.59,Viseu,Particular
T00821,2022-03-18,2022,3,Q1,C0023,1,P003,Credito,193956.17,15904.41,Coimbra,Particular
T01461,2022-03-19,2022,3,Q1,C0037,2,P007,Seguro Auto,1404.08,259.75,Setubal,Particular
T00996,2022-03-21,2022,3,Q1,C0033,1,P005,Cartao,3811.44,221.06,Aveiro,Particular
T01434,2022-03-22,2022,3,Q1,C0023,2,P007,Seguro Auto,818.42,151.41,Leiria,Particular
T00133,2022-03-22,2022,3,Q1,C0019,3,P013,Gestao,65014.04,780.17,Lisboa,Particular
T00452,2022-03-22,2022,3,Q1,C0004,3,P011,Fundo,80660.41,645.28,Porto,PME
T01136,2022-03-22,2022,3,Q1,C0029,3,P013,Gestao,301561.16,3618.73,Braga,PME
T01249,2022-03-22,2022,3,Q1,C0035,1,P004,Deposito,26048.27,547.01,Lisboa,Private Banking
T02098,2022-03-23,2022,3,Q1,C0031,1,P004,Deposito,32578.3,684.14,Lisboa,PME
T00074,2022-03-23,2022,3,Q1,C0025,2,P008,Seguro Habitacao,1747.06,349.41,Faro,Particular
T01868,2022-03-24,2022,3,Q1,C0031,1,P002,Credito,33846.84,1184.64,Lisboa,PME
T01541,2022-03-24,2022,3,Q1,C0008,1,P005,Cartao,761.01,44.14,Viseu,Corporate
T00355,2022-03-24,2022,3,Q1,C0002,3,P010,Fundo,14566.6,218.5,Faro,Private Banking
T00016,2022-03-24,2022,3,Q1,C0002,1,P002,Credito,53843.37,1884.52,Leiria,Private Banking
T01454,2022-03-25,2022,3,Q1,C0008,1,P001,Deposito,39657.09,475.89,Viseu,Corporate
T00228,2022-03-26,2022,3,Q1,C0026,3,P014,Poupanca,20251.45,202.51,Faro,PME
T01401,2022-03-26,2022,3,Q1,C0005,1,P005,Cartao,3259.64,189.06,Aveiro,Particular
T01244,2022-03-27,2022,3,Q1,C0037,1,P004,Deposito,36149.95,759.15,Coimbra,Particular
T00571,2022-03-27,2022,3,Q1,C0026,2,P007,Seguro Auto,1785.69,330.35,Porto,PME
T00939,2022-03-27,2022,3,Q1,C0001,1,P005,Cartao,3063.94,177.71,Coimbra,Particular
T02151,2022-03-27,2022,3,Q1,C0005,1,P002,Credito,132971.96,4654.02,Aveiro,Particular
T00207,2022-03-28,2022,3,Q1,C0025,2,P006,Seguro Vida,2271.21,499.67,Faro,Particular
T01048,2022-03-28,2022,3,Q1,C0028,3,P012,Fundo,62446.08,1248.92,Coimbra,Particular
T02271,2022-03-28,2022,3,Q1,C0037,1,P004,Deposito,48250.05,1013.25,Coimbra,Particular
T00295,2022-03-28,2022,3,Q1,C0022,1,P005,Cartao,4991.12,289.48,Lisboa,Particular
T01976,2022-03-28,2022,3,Q1,C0029,1,P002,Credito,230388.63,8063.6,Faro,PME
T01123,2022-03-28,2022,3,Q1,C0035,3,P014,Poupanca,5419.96,54.2,Setubal,Private Banking
T01673,2022-03-28,2022,3,Q1,C0029,3,P010,Fundo,6477.4,97.16,Braga,PME
T02449,2022-03-29,2022,3,Q1,C0038,2,P006,Seguro Vida,3171.34,697.69,Coimbra,Particular
T00487,2022-03-29,2022,3,Q1,C0014,3,P011,Fundo,90226.02,721.81,Viseu,Particular
T02568,2022-03-30,2022,3,Q1,C0006,1,P001,Deposito,47383.67,568.6,Evora,Particular
T02053,2022-03-31,2022,3,Q1,C0014,2,P007,Seguro Auto,783.29,144.91,Porto,Particular
T01940,2022-03-31,2022,3,Q1,C0013,2,P006,Seguro Vida,1689.39,371.67,Coimbra,Corporate
T01753,2022-03-31,2022,3,Q1,C0040,1,P005,Cartao,4764.3,276.33,Lisboa,Particular
T00247,2022-03-31,2022,3,Q1,C0024,2,P008,Seguro Habitacao,1885.09,377.02,Braga,Particular
T02077,2022-04-01,2022,4,Q2,C0025,3,P014,Poupanca,5015.15,50.15,Porto,Particular
T01314,2022-04-01,2022,4,Q2,C0041,3,P014,Poupanca,26412.5,264.12,Leiria,Particular
T02775,2022-04-02,2022,4,Q2,C0037,2,P007,Seguro Auto,889.62,164.58,Setubal,Particular
T02232,2022-04-02,2022,4,Q2,C0014,2,P006,Seguro Vida,1401.84,308.4,Porto,Particular
T02370,2022-04-02,2022,4,Q2,C0005,2,P008,Seguro Habitacao,794.88,158.98,Coimbra,Particular
T02424,2022-04-02,2022,4,Q2,C0036,2,P009,Seguro Saude,1796.92,449.23,Aveiro,Corporate
T02612,2022-04-03,2022,4,Q2,C0001,2,P008,Seguro Habitacao,2187.18,437.44,Lisboa,Particular
T01637,2022-04-03,2022,4,Q2,C0007,2,P008,Seguro Habitacao,1262.87,252.57,Evora,Particular
T01778,2022-04-03,2022,4,Q2,C0004,2,P009,Seguro Saude,7198.91,1799.73,Braga,PME
T01888,2022-04-03,2022,4,Q2,C0029,3,P010,Fundo,34655.7,519.84,Braga,PME
T02732,2022-04-04,2022,4,Q2,C0001,3,P011,Fundo,81449.57,651.6,Viseu,Particular
T00815,2022-04-04,2022,4,Q2,C0018,2,P008,Seguro Habitacao,1466.26,293.25,Aveiro,Particular
T01444,2022-04-04,2022,4,Q2,C0014,1,P002,Credito,8519.48,298.18,Evora,Particular
T01727,2022-04-04,2022,4,Q2,C0001,1,P003,Credito,128612.79,10546.25,Coimbra,Particular
T02341,2022-04-04,2022,4,Q2,C0033,1,P002,Credito,76501.61,2677.56,Aveiro,Particular
T00646,2022-04-05,2022,4,Q2,C0024,1,P001,Deposito,43911.07,526.93,Faro,Particular
T02228,2022-04-05,2022,4,Q2,C0031,1,P003,Credito,166493.61,13652.48,Lisboa,PME
T00970,2022-04-06,2022,4,Q2,C0002,3,P012,Fundo,11219.28,224.39,Faro,Private Banking
T00875,2022-04-06,2022,4,Q2,C0039,1,P005,Cartao,791.45,45.9,Setubal,PME
T01813,2022-04-07,2022,4,Q2,C0001,2,P008,Seguro Habitacao,2273.72,454.74,Lisboa,Particular
T00443,2022-04-07,2022,4,Q2,C0022,2,P009,Seguro Saude,6607.73,1651.93,Evora,Particular
T00897,2022-04-07,2022,4,Q2,C0023,1,P004,Deposito,21120.03,443.52,Coimbra,Particular
T01527,2022-04-07,2022,4,Q2,C0009,1,P003,Credito,74673.6,6123.24,Braga,PME
T01851,2022-04-08,2022,4,Q2,C0040,1,P001,Deposito,22712.48,272.55,Lisboa,Particular
T00268,2022-04-08,2022,4,Q2,C0014,2,P009,Seguro Saude,5653.19,1413.3,Porto,Particular
T00287,2022-04-08,2022,4,Q2,C0040,1,P003,Credito,71938.07,5898.92,Lisboa,Particular
T01067,2022-04-08,2022,4,Q2,C0024,3,P010,Fundo,69363.77,1040.46,Viseu,Particular
T02314,2022-04-08,2022,4,Q2,C0012,3,P010,Fundo,1053.06,15.8,Faro,Private Banking
T01652,2022-04-08,2022,4,Q2,C0018,2,P009,Seguro Saude,6729.92,1682.48,Aveiro,Particular
T01755,2022-04-10,2022,4,Q2,C0040,3,P012,Fundo,32993.91,659.88,Setubal,Particular
T00435,2022-04-10,2022,4,Q2,C0014,1,P001,Deposito,20412.13,244.95,Evora,Particular
T00878,2022-04-10,2022,4,Q2,C0035,3,P013,Gestao,427467.25,5129.61,Setubal,Private Banking
T02072,2022-04-10,2022,4,Q2,C0023,1,P002,Credito,232561.04,8139.64,Coimbra,Particular
T00822,2022-04-10,2022,4,Q2,C0037,2,P006,Seguro Vida,2918.3,642.03,Setubal,Particular
T02594,2022-04-11,2022,4,Q2,C0040,1,P004,Deposito,36734.08,771.42,Lisboa,Particular
T01250,2022-04-11,2022,4,Q2,C0012,1,P003,Credito,112690.7,9240.64,Evora,Private Banking
T00129,2022-04-11,2022,4,Q2,C0037,1,P004,Deposito,41725.53,876.24,Coimbra,Particular
T02552,2022-04-12,2022,4,Q2,C0029,1,P004,Deposito,2816.2,59.14,Faro,PME
T00197,2022-04-12,2022,4,Q2,C0041,1,P001,Deposito,13969.09,167.63,Viseu,Particular
T01445,2022-04-13,2022,4,Q2,C0019,3,P010,Fundo,46162.27,692.43,Lisboa,Particular
T02598,2022-04-13,2022,4,Q2,C0040,3,P011,Fundo,95938.2,767.51,Setubal,Particular
T00770,2022-04-14,2022,4,Q2,C0022,3,P011,Fundo,28123.77,224.99,Coimbra,Particular
T00345,2022-04-14,2022,4,Q2,C0018,1,P004,Deposito,30077.18,631.62,Setubal,Particular
T01326,2022-04-14,2022,4,Q2,C0005,2,P009,Seguro Saude,1849.7,462.43,Coimbra,Particular
T01325,2022-04-14,2022,4,Q2,C0007,2,P006,Seguro Vida,2306.35,507.4,Evora,Particular
T00349,2022-04-15,2022,4,Q2,C0036,2,P007,Seguro Auto,907.53,167.89,Aveiro,Corporate
